item	itemLabel	GeoNamesID	country	terrain	date	named
http://www.wikidata.org/entity/Q76017348	Oberamt Pegnitz					
http://www.wikidata.org/entity/Q76017738	Oberamt Schauenstein					
http://www.wikidata.org/entity/Q76025599	Oberamt Stockenroth					
http://www.wikidata.org/entity/Q76472779	Amtsverwaltung Sankt Georgen					
http://www.wikidata.org/entity/Q76473891	Vogtei Hetzelsdorf					
http://www.wikidata.org/entity/Q76474762	Vogteiamt Wonsees					
http://www.wikidata.org/entity/Q76475007	Kastenamt Neustadt am Kulm					
http://www.wikidata.org/entity/Q84595941	House of Nassau-Siegen (1303-1607)					
http://www.wikidata.org/entity/Q85421072	Von Dotzen					
http://www.wikidata.org/entity/Q86518139	House of Hohenzollern-Haigerloch					
