Abtei Baindt, Schwäbischer Reichskreis,
Reichsherrschaft Mechernich, Nicht eingekreiste Territorien,
Reichsherrschaft Schauen, Nicht eingekreiste Territorien,
Reichspropstei Odenheim, Oberrheinischer Reichskreis,
Reichsstadt Aachen, Niederrheinisch-westfälischer Reichskreis,
Reichsstadt Aalen, Schwäbischer Reichskreis,
Reichsstadt Augsburg, Schwäbischer Reichskreis,
Reichsstadt Biberach, Schwäbischer Reichskreis,
Reichsstadt Bopfingen, Schwäbischer Reichskreis,
Reichsstadt Bremen, Niedersächsischer Reichskreis,
Reichsstadt Buchau, Schwäbischer Reichskreis,
Reichsstadt Buchhorn, Schwäbischer Reichskreis,
Reichsstadt Dinkelsbühl, Schwäbischer Reichskreis,
Reichsstadt Dortmund, Niederrheinisch-westfälischer Reichskreis,
Reichsstadt Esslingen, Schwäbischer Reichskreis,
Reichsstadt Frankfurt am Main, Oberrheinischer Reichskreis,
Reichsstadt Friedberg, Oberrheinischer Reichskreis,
Reichsstadt Gengenbach, Schwäbischer Reichskreis,
Reichsstadt Giengen, Schwäbischer Reichskreis,
Reichsstadt Goslar, Niedersächsischer Reichskreis,
Reichsstadt Hamburg, Niedersächsischer Reichskreis,
Reichsstadt Heilbronn, Schwäbischer Reichskreis,
Reichsstadt Isny, Schwäbischer Reichskreis,
Reichsstadt Kaufbeuren, Schwäbischer Reichskreis,
Reichsstadt Kempten, Schwäbischer Reichskreis,
Reichsstadt Köln, Niederrheinisch-westfälischer Reichskreis,
Reichsstadt Leutkirch, Schwäbischer Reichskreis,
Reichsstadt Lindau, Schwäbischer Reichskreis,
Reichsstadt Lübeck, Niedersächsischer Reichskreis,
Reichsstadt Memmingen, Schwäbischer Reichskreis,
Reichsstadt Mühlhausen, Niedersächsischer Reichskreis,
Reichsstadt Nordhausen, Niedersächsischer Reichskreis,
Reichsstadt Nördlingen, Schwäbischer Reichskreis,
Reichsstadt Nürnberg, Fränkischer Reichskreis,
Reichsstadt Offenburg, Schwäbischer Reichskreis,
Reichsstadt Pfullendorf, Schwäbischer Reichskreis,
Reichsstadt Ravensburg, Schwäbischer Reichskreis,
Reichsstadt Regensburg, Bayerischer Reichskreis,
Reichsstadt Reutlingen, Schwäbischer Reichskreis,
Reichsstadt Rothenburg ob der Tauber, Fränkischer Reichskreis,
Reichsstadt Rottweil, Schwäbischer Reichskreis,
Reichsstadt Schweinfurt, Fränkischer Reichskreis,
Reichsstadt Schwäbisch Gmünd, Schwäbischer Reichskreis,
Reichsstadt Schwäbisch Hall, Schwäbischer Reichskreis,
Reichsstadt Speyer, Oberrheinischer Reichskreis,
Reichsstadt Ulm, Schwäbischer Reichskreis,
Reichsstadt Wangen, Schwäbischer Reichskreis,
Reichsstadt Weil der Stadt, Schwäbischer Reichskreis,
Reichsstadt Weißenburg, Fränkischer Reichskreis,
Reichsstadt Wetzlar, Oberrheinischer Reichskreis,
Reichsstadt Wimpfen, Schwäbischer Reichskreis,
Reichsstadt Windsheim, Fränkischer Reichskreis,
Reichsstadt Worms, Oberrheinischer Reichskreis,
Reichsstadt Zell am Harmersbach, Schwäbischer Reichskreis
Reichsstadt Überlingen, Schwäbischer Reichskreis,
Reichsstift Burtscheid, Nicht eingekreiste Territorien,
Reichsunmittelbares Schloss und Dorf Münzfelden, Oberrheinischer Reichskreis,
Schwäbisch-Österreich, Österreichischer Reichskreis,
Stift Walkenried, Obersächsischer Reichskreis,
Territorien im Heiligen Römischen Reich deutscher Nation (1792), Reichskreise,
Thurn und Taxis, Kurrheinischer Kreis,
Untere Markgrafschaft Baden / Baden-Durlach, Schwäbischer Reichskreis,
Vorarlbergische Herrschaften, Österreichischer Reichskreis,
